Food,Protein,Fat,Carb,Fiber,Calories
Avocado Oil whipped spread-Earth Balance,0,100,0,0,900
Beef Tallow - EPIC,0,100,0,0,900
Bison Tallow - EPIC,0,100,0,0,900
Cacao Butter - Navitas Naturals,0,100,0,0,900
Chicken Fat_ organic - EPIC,0,100,0,0,900
Duck Fat - EPIC,0,100,0,0,900
Ghee,0,100,0,0,900
Ghee_ grass fed - Bulletproof,0,100,0,0,900
Oil_ Almond,0,100,0,0,900
Oil_ Avocado,0,100,0,0,900
Oil_ Black Seed,0,100,0,0,900
Oil_ Canola,0,100,0,0,900
Oil_ coconut - Niugini Organics,0,100,0,0,900
Oil_ Coconut Liquid Premium - Natures Way,0,100,0,0,900
Oil_ Corn,0,100,0,0,900
Oil_ Flaxseed,0,100,0,0,900
Oil_ Grapeseed,0,100,0,0,900
Oil_ Hazelnut,0,100,0,0,900
Oil_ Hempseed - Nutiva,0,100,0,0,900
Oil_ Macadamia nut,0,100,0,0,900
Oil_ MCT lean - MCT Foods LLC,0,100,0,0,900
Oil_ Olive,0,100,0,0,900
Oil_ Pecan,0,100,0,0,900
Oil_ Pumpkin,0,100,0,0,900
Oil_ Safflower,0,100,0,0,900
Oil_ Sesame,0,100,0,0,900
Oil_ Soybean,0,100,0,0,900
Oil_ Sunflower,0,100,0,0,900
Oil_ Walnut,0,100,0,0,900
Omega 3-6-9 Liquid_ Nordic Naturals,0,100,0,0,900
Pork Fat_ organic - EPIC,0,100,0,0,900
Shortening (non-hydrogenated palm oil) - Spectrum,0,100,0,0,900
Shortening_ Vegetable_ Organic - Spectrum,0,100,0,0,900
Oil_ Coconut - unrefined,0,96,0,0,864
GV Spectrum Almond Oil,0,95.19,0,0,856.7
Oil_ coconut oil whole foods 365,0,93.33,0,0,840
Oil_ MCT - Garden of Life,0,93.33,0,0,840
Lard,0,93.3,0,0,839.7
Oil_ MCT C8Keto- KetoBay,0,93,0,0,837
Oil_ Coconut oil liquid - LouAna,0,92.87,0,0,835.8
Oil_ Hemp - Certified Org - Manitoba Harvest,0,92.85,7.14,0,864.2
Sunflower Lecithin liquid - Lekithos,0,92.85,5,0,855.6
Sunflower Liquid Lecithin - Lekithos,0,92.85,5,0,855.6
MCT oil - Carrington Farm Premium,0,92.66,0,0,833.9
Oil MCT - Sports Research,0,92.66,0,0,833.9
Oil_ Brain Octane (Caprylic Acid) - Bulletproof,0,92.66,0,0,833.9
Oil_ MCT - NOW Foods Sports (measure in gm),0,92.66,0,0,833.9
Oil_ MCT - Onnit,0,92.66,0,0,833.9
Oil_ MCT - Sci Fit (measure in gm),0,92.66,0,0,833.9
Oil_ MCT - Smart Basics (measure in gm),0,92.66,0,0,833.9
Oil_ MCT - Ultimate Nutrition Prem MCT Gold,0,92.66,0,0,833.9
Oil_ MCT Captri C-8 - Parrillo,0,92.66,0,0,833.9
Oil_ XCT - Bulletproof,0,92.66,0,0,833.9
Oil_ Triheptanoin (study protocol only),0,91.5,0.9,0,827.1
Sunflower Lecithin liquid - LoveRawFoods-BlMtOr,0,90.7,6.25,0,841.3
Oil_ MCT - Nestle (measure in mL),0,85.6,0,0,770.4
Oil_ MCT- OmniCT Nutrevolution - discontinued,0,85.5,0,0,769.5
Mayo - Primal Kitchen,0,80,0.3,0,721.2
Mayonnaise - Avocado oil-ChosenFoods,0,78.6,3.5,0,721.4
Buttery Spread_ Natural soy free - Earth Balance,0,78.57,0,0,707.1
Mayonnaise - Sir Kensington's,0,78.57,3.6,0,721.5
Spread_ Earth Balance Soy Free Natural Buttery,0,78.57,0,0,707.1
MCT Oil Powder - Quest Nutrition,0,77.8,0,11.11,700.2
Omega-3 fish oil_ Coromega 1pkt = 3gm oil,0,73.3,2.5,0,669.7
Soy Lecithn - fine granules - NOW Foods,0,73.3,10,0,699.7
Butter_ vegan - Miyoko's,0,71.43,3.57,0,657.2
Salad Dressing_ Grn Goddess Tessamae's DISC,0,67.67,3.76,0,624.1
Omega Plus Spread - Smart Balance (& Original),0,66.4,0.89,0,601.2
Salad Dressing_ Creamy Ranch_ Org-Tessamae's,0,64.7,5.6,0,604.7
Sunflower Lecithin liquid - NOW,0,64.5,5,0,600.5
Salad Dressing_ Avo Ranch_ Organic - Tessamae's,0,64.3,5.6,0,601.1
Salad Dressing_ Balsamic_ Organic - Tessamae's,0,64.3,3.52,0,592.8
Salad Dressing_ Lemon Garlic_ Organic - Tessamae's,0,64.3,3.5,0,592.7
Oil_ Smart Balance Omega - Conagra,0,61.54,0,0,553.9
Olde Cape Cod Tartar Sauce,0,60.7,3.57,0,560.6
MCT powder organic - Garden of Life,0,60,0,30,540
Salad Dressing_ Greek Vinaigrette-PrimalKitchen,0,57.14,1.8,0,521.5
Fleischmann's unsalted Margarine,0,57.12,0,0,514.1
Cains Tartar Sauce,0,57.1,3.57,0,528.2
Lecithin Granules 100% Pure soy - Swanson,0,53.85,12.31,0,533.9
Clotted Cream - English Luxury,0,53.57,1.7,0,488.9
Lecithin Granules - Whole Foods,0,53.33,6.67,0,506.7
French's french Fried Onions,0,52,42.6,0,638.4
Lecithin Granules NonGMO soy - NOW,0,50,10,0,490
Microlipid gm = mL Nestle discontinued 1/2022,0,50,0,0,450
Oil emulsion - Liquigen (MCT) - Nutricia,0,50,0,0,450
Sunflower Lecithin powder - Lekithos,0,50,14.29,0,507.2
Salad Dressing_ Greek - Kroger,0,48.3,2.75,0,445.7
cookies-Rip Van Vanilla,0,45.45,18.18,0,481.8
Salad Dressing_ Blue Cheese Roka - Kraft,0,43,3.57,0,401.3
Mayonnaise - Just Mayo - Hampton Crk Fds,0,42.65,7.14,0,412.4
Organic Rose Vinaigrette - Trader Joes,0,40,6.66,0,386.6
Salad Dressing_ WishBone Creamy French,0,39.3,17.9,0,425.3
Salad Dressing_ Classic Ceasar Tessamae DISC,0,30.6,6.12,0,299.9
Coconut Cream_ Org HEAVY - Let's Do Organic,0,30,3.33,0,283.3
